MARKER 0 0 Group(0,0)-ATTACK 0 0 1
MARKER 1 40.33333333333333 Group(0,0)-SUSTAIN 0 0 1
MARKER 2 123.95384332745444 Group(0,0)-RELEASE 0 0 1
MARKER 3 123.95384332745444 Group(0,1)-ATTACK 0 0 1
MARKER 4 128.53717666078776 Group(0,1)-SUSTAIN 0 0 1
MARKER 5 213.75875220458553 Group(0,1)-RELEASE 0 0 1
MARKER 6 213.75875220458553 Group(0,2)-ATTACK 0 0 1
MARKER 7 235.14764109347442 Group(0,2)-SUSTAIN 0 0 1
MARKER 8 302.0902924750147 Group(0,2)-RELEASE 0 0 1
MARKER 9 302.09029247501473 Group(0,3)-ATTACK 0 0 1
MARKER 10 340.59029247501473 Group(0,3)-SUSTAIN 0 0 1
MARKER 11 390.7001543209877 Group(0,3)-RELEASE 0 0 1
MARKER 12 390.7001543209877 Group(0,4)-ATTACK 0 0 1
MARKER 13 511.7001543209877 Group(0,4)-SUSTAIN 0 0 1
MARKER 14 578.3924823633157 Group(0,4)-RELEASE 0 0 1
MARKER 15 578.3924823633157 Group(0,5)-ATTACK 0 0 1
MARKER 16 618.7258156966491 Group(0,5)-SUSTAIN 0 0 1
MARKER 17 702.3463256907702 Group(0,5)-RELEASE 0 0 1
MARKER 18 702.3463256907702 Group(0,6)-ATTACK 0 0 1
MARKER 19 706.9296590241036 Group(0,6)-SUSTAIN 0 0 1
MARKER 20 792.1512345679014 Group(0,6)-RELEASE 0 0 1
MARKER 21 792.1512345679013 Group(0,7)-ATTACK 0 0 1
MARKER 22 813.5401234567902 Group(0,7)-SUSTAIN 0 0 1
MARKER 23 880.4827748383304 Group(0,7)-RELEASE 0 0 1
MARKER 24 880.4827748383304 Group(0,8)-ATTACK 0 0 1
MARKER 25 918.9827748383304 Group(0,8)-SUSTAIN 0 0 1
MARKER 26 969.0926366843034 Group(0,8)-RELEASE 0 0 1
MARKER 27 969.0926366843034 Group(0,9)-ATTACK 0 0 1
MARKER 28 1090.0926366843034 Group(0,9)-SUSTAIN 0 0 1
MARKER 29 1156.7849647266314 Group(0,9)-RELEASE 0 0 1
MARKER 30 1156.7849647266314 Group(0,10)-ATTACK 0 0 1
MARKER 31 1197.1182980599647 Group(0,10)-SUSTAIN 0 0 1
MARKER 32 1280.738808054086 Group(0,10)-RELEASE 0 0 1
MARKER 33 1280.738808054086 Group(0,11)-ATTACK 0 0 1
MARKER 34 1285.3221413874192 Group(0,11)-SUSTAIN 0 0 1
MARKER 35 1370.543716931217 Group(0,11)-RELEASE 0 0 1
MARKER 36 1370.543716931217 Group(0,12)-ATTACK 0 0 1
MARKER 37 1391.932605820106 Group(0,12)-SUSTAIN 0 0 1
MARKER 38 1458.8752572016463 Group(0,12)-RELEASE 0 0 1
MARKER 39 1458.875257201646 Group(0,13)-ATTACK 0 0 1
MARKER 40 1497.375257201646 Group(0,13)-SUSTAIN 0 0 1
MARKER 41 1547.485119047619 Group(0,13)-RELEASE 0 0 1
MARKER 42 1547.485119047619 Group(0,14)-ATTACK 0 0 1
MARKER 43 1668.485119047619 Group(0,14)-SUSTAIN 0 0 1
MARKER 44 1735.177447089947 Group(0,14)-RELEASE 0 0 1
MARKER 45 1735.177447089947 Group(0,15)-ATTACK 0 0 1
MARKER 46 1775.5107804232803 Group(0,15)-SUSTAIN 0 0 1
MARKER 47 1859.1312904174015 Group(0,15)-RELEASE 0 0 1
MARKER 48 1859.1312904174015 Group(0,16)-ATTACK 0 0 1
MARKER 49 1863.7146237507347 Group(0,16)-SUSTAIN 0 0 1
MARKER 50 1948.9361992945326 Group(0,16)-RELEASE 0 0 1
MARKER 51 1948.9361992945326 Group(0,17)-ATTACK 0 0 1
MARKER 52 1970.3250881834215 Group(0,17)-SUSTAIN 0 0 1
MARKER 53 2037.2677395649619 Group(0,17)-RELEASE 0 0 1
MARKER 54 2037.2677395649616 Group(0,18)-ATTACK 0 0 1
MARKER 55 2075.7677395649616 Group(0,18)-SUSTAIN 0 0 1
MARKER 56 2125.8776014109344 Group(0,18)-RELEASE 0 0 1
MARKER 57 2125.8776014109344 Group(0,19)-ATTACK 0 0 1
MARKER 58 2246.8776014109344 Group(0,19)-SUSTAIN 0 0 1
